Consumer Brand,UML Id,Name,Country,Province,District,Latitude,Longitude,Parent Company,Parent Group,RSPO
J&J,PO1000004466,Ricky Kurniawan Kertapersada,Indonesia,Jambi,Muaro Jambi,-1.49505,103.861183,Ricky Kurniawan Kertapersada,Matahari Kahuripan Indonesia,Not RSPO Certified
J&J,PO1000004467,Tanjung Buyu Perkasa Plantation,Indonesia,Kalimantan Timur,Berau,1.513797,118.265711,Tanjung Buyu Perkasa Plantations,Teladan Prima,Not RSPO Certified
J&J,PO1000004468,Sungai Bahar Pasifik Utama,Indonesia,Jambi,Muaro Jambi,-1.5362,103.630567,Sungai Bahar Pasifik Utama,Sungai Bahar Pasifik Utama,Not RSPO Certified
J&J,PO1000004469,Baras,Indonesia,Sulawesi Barat,Mamuju Utara,-1.5414,119.401633,Unggul Widya Teknologi Lestari,Widya Corporation,Not RSPO Certified
J&J,PO1000004470,Meskom Agro Sarimas,Indonesia,Riau,Bengkalis,1.54875,102.08845,Meskom Agro Sarimas,Sarimas,Not RSPO Certified
J&J,PO1000004471,Geliga Bagan Riau,Indonesia,Riau,Rokan Hilir,1.599033,100.421917,Geliga Bagan Riau,Kuala Mas,Not RSPO Certified
J&J,PO1000004474,Murini Sam-Sam Pelintung,Indonesia,Riau,Dumai,1.6525,101.6381,Murini Sam-Sam 2,Wilmar International,Not RSPO Certified
J&J,PO1000004475,Agronusa Investama 2 - Pahoman,Indonesia,Kalimantan Barat,Landak,0.275303,109.731414,Agronusa Investama 2,Wilmar Internasional,Not RSPO Certified
J&J,PO1000004475,Agronusa Investama 2 - Pahoman,Indonesia,Kalimantan Barat,Landak,0.275303,109.731414,Agronusa Investama,Wilmar International,Not RSPO Certified
J&J,PO1000004476,Tasik Raja,Indonesia,Sumatera Utara,Labuhanbatu Selatan,1.669611,100.161528,Tasik Raja,Anglo Eastern Plantation,Not RSPO Certified
J&J,PO1000004477,Sei Daun,Indonesia,Sumatera Utara,Labuhanbatu Selatan,1.675883,100.32325,Perkebunan Nusantara Iii,Perkebunan Nusantara,"RSPO Certified, MB"
J&J,PO1000004479,Sinar Perdana Caraka,Indonesia,Riau,Rokan Hilir,1.69192,100.55849,Sinar Perdana Caraka,Wilmar International,Not RSPO Certified
J&J,PO1000004481,Suryaraya Lestari 1,Indonesia,Sulawesi Barat,Mamuju Utara,-1.69379,119.36168,Suryaraya Lestari 1,Astra Agro Lestari,Not RSPO Certified
J&J,PO1000004482,Biccon Agro Makmur,Indonesia,Jambi,Muaro Jambi,-1.744367,103.869367,Biccon Agro Makmur,Biccon Agro Makmur,Not RSPO Certified
J&J,PO1000004483,Sumber Tani Agung,Indonesia,Sumatera Utara,Labuhanbatu Selatan,1.75455,99.9835,Sumber Tani Agung,Sumber Tani Agung,Not RSPO Certified
J&J,PO1000004484,Buluh Cina,Indonesia,Riau,Rokan Hilir,1.76856,100.493594,Dharma Wungu Guna,Wilmar International,Not RSPO Certified
J&J,PO1000004486,Palm Trimitra Indotama,Indonesia,Sumatera Utara,Deli Serdang,3.541944,98.794167,Palm Trimitra Indotama,Trimitra,Not RSPO Certified
J&J,PO1000004487,Kencana Andalan Nusantara,Indonesia,Riau,Rokan Hilir,1.783667,100.392417,Kencana Andalan Nusantara,Kencana,Not RSPO Certified
J&J,PO1000004488,Kalanaman,Indonesia,Kalimantan Tengah,Katingan,-1.801,113.1817,Bisma Dharma Kencana,Bisma Dharma Kencana,Not RSPO Certified
J&J,PO1000004489,Kuala Mas Sawit Abadi,Indonesia,Sumatera Utara,Labuhanbatu Selatan,1.812333,100.024367,Kuala Mas Sawit Abadi,Kuala Mas,Not RSPO Certified
J&J,PO1000004490,Eka Jaya Multi Perkasa,Indonesia,Sumatera Selatan,Lahat,-3.55315,103.30196,Ekajaya Multiperkasa,Bukit Barisan Indah Prima,Not RSPO Certified
